project_budget,region,tower_type,month,year,weather_index,lead_time_days,material_name,quantity
20067876,Delhi,Distribution,7,2025,0.85,29,ACSR Conductor,4856
16554786,Gujarat,Substation,2,2024,0.6,20,Relay Panel,9
17662243,Bihar,Substation,10,2024,0.9,15,Copper Cable 400mm,3461
22174395,Bihar,Substation,3,2024,0.5,27,Copper Cable 400mm,4612
14204802,Bihar,Distribution,9,2025,0.77,19,Power Transformer 220kV,9
9093925,Tamil Nadu,Distribution,10,2024,0.74,21,Copper Cable 400mm,1445
18922837,Tamil Nadu,Distribution,11,2024,0.36,30,ACSR Conductor,4825
23499434,Gujarat,Transmission,3,2025,0.47,20,High Voltage Fuse,17
8428700,Karnataka,Substation,5,2024,0.36,12,High Voltage Fuse,6
24730772,Madhya Pradesh,Transmission,2,2025,0.59,30,ACSR Conductor,3734
7016868,West Bengal,Substation,7,2025,0.5,13,Earthing Rod,308
16872340,Madhya Pradesh,Substation,11,2025,0.56,28,Circuit Breaker,7
19202025,Maharashtra,Distribution,6,2025,0.38,28,High Voltage Fuse,10
12568072,Rajasthan,Distribution,1,2024,0.77,16,Copper Cable 400mm,1935
7345203,Rajasthan,Transmission,12,2025,0.35,27,Circuit Breaker,3
19064968,Delhi,Transmission,10,2025,0.6,24,Insulator Disc,800
11979032,Bihar,Distribution,4,2024,0.43,18,ACSR Conductor,2431
19967802,Rajasthan,Distribution,5,2025,0.31,10,Power Transformer 220kV,8
15750146,Madhya Pradesh,Substation,5,2025,0.37,22,Steel Tower,78
16709574,Maharashtra,Substation,4,2025,0.51,21,Steel Tower,66
19424582,Uttar Pradesh,Distribution,1,2024,0.8,24,Earthing Rod,1107
16593465,Bihar,Substation,12,2024,0.87,10,Earthing Rod,680
6248796,Gujarat,Distribution,12,2025,0.57,26,Power Transformer 220kV,4
6385521,Delhi,Substation,5,2024,0.61,24,High Voltage Fuse,3
19863820,Madhya Pradesh,Transmission,5,2025,0.44,10,Insulator Disc,993
12523990,Bihar,Transmission,8,2024,0.33,16,Relay Panel,7
18607570,Tamil Nadu,Transmission,10,2025,0.38,20,Earthing Rod,762
21790679,Tamil Nadu,Transmission,2,2024,0.48,20,Copper Cable 400mm,4793
7354191,Rajasthan,Transmission,6,2025,0.75,12,Relay Panel,3
16076198,Gujarat,Distribution,7,2025,0.71,17,Steel Tower,32
7857952,Maharashtra,Transmission,10,2025,0.64,26,Power Transformer 220kV,4
24697386,West Bengal,Substation,1,2024,0.46,21,Power Transformer 220kV,13
24300273,Rajasthan,Distribution,3,2025,0.87,14,High Voltage Fuse,14
10442046,Uttar Pradesh,Distribution,9,2024,0.65,16,Power Transformer 220kV,5
16494698,Madhya Pradesh,Substation,9,2025,0.56,12,Earthing Rod,940
14194744,Madhya Pradesh,Substation,6,2024,0.31,12,Earthing Rod,851
24121241,Maharashtra,Distribution,6,2024,0.47,12,Earthing Rod,1181
16326126,Bihar,Transmission,10,2025,0.86,26,Circuit Breaker,12
9377364,Madhya Pradesh,Substation,7,2025,0.6,29,Copper Cable 400mm,2597
14252024,Gujarat,Transmission,12,2025,0.63,13,ACSR Conductor,2750
10187321,Madhya Pradesh,Transmission,4,2024,0.55,25,Insulator Disc,611
7916654,Delhi,Substation,3,2024,0.76,13,Steel Tower,23
9815380,Madhya Pradesh,Transmission,2,2024,0.5,11,Galvanized Steel Wire,2689
18803615,Rajasthan,Distribution,3,2025,0.76,12,Earthing Rod,1071
13446096,Madhya Pradesh,Substation,4,2024,0.74,17,ACSR Conductor,3993
14282674,Karnataka,Transmission,3,2025,0.76,23,Copper Cable 400mm,2385
24605115,Bihar,Substation,6,2025,0.57,10,Galvanized Steel Wire,6864
16544458,Bihar,Substation,12,2025,0.39,29,High Voltage Fuse,5
8565171,Uttar Pradesh,Substation,8,2024,0.39,15,High Voltage Fuse,6
7706698,Maharashtra,Substation,1,2025,0.41,12,Steel Tower,23
10087174,Tamil Nadu,Distribution,2,2024,0.62,18,Power Transformer 220kV,3
21201894,Karnataka,Substation,4,2025,0.8,13,ACSR Conductor,4961
22783893,Gujarat,Distribution,5,2025,0.63,15,Earthing Rod,1321
7607942,Gujarat,Transmission,7,2025,0.8,30,Circuit Breaker,5
6012488,Uttar Pradesh,Transmission,7,2024,0.5,10,High Voltage Fuse,4
17634077,Tamil Nadu,Substation,4,2024,0.4,18,Earthing Rod,1005
20418615,Madhya Pradesh,Substation,9,2025,0.48,19,Power Transformer 220kV,11
13465830,Delhi,Distribution,12,2025,0.89,21,Galvanized Steel Wire,3339
6518242,Karnataka,Distribution,8,2024,0.89,14,Insulator Disc,358
6067610,Bihar,Distribution,10,2024,0.75,22,Galvanized Steel Wire,1504
15732582,Delhi,Distribution,12,2024,0.63,10,High Voltage Fuse,10
22051511,Gujarat,Transmission,10,2025,0.68,28,Copper Cable 400mm,6483
20534986,Karnataka,Transmission,10,2024,0.46,10,Relay Panel,14
17671536,Karnataka,Distribution,11,2024,0.85,21,ACSR Conductor,3092
7361521,Madhya Pradesh,Substation,1,2024,0.63,16,Steel Tower,22
14255517,Delhi,Distribution,8,2025,0.55,28,High Voltage Fuse,4
21485487,Madhya Pradesh,Distribution,2,2025,0.57,28,Power Transformer 220kV,16
18899932,West Bengal,Distribution,5,2025,0.63,19,Relay Panel,7
14313685,Uttar Pradesh,Substation,3,2025,0.89,11,Earthing Rod,729
5564855,Karnataka,Substation,10,2024,0.58,26,Relay Panel,2
24098886,Bihar,Substation,4,2025,0.51,22,ACSR Conductor,4506
16334342,West Bengal,Transmission,10,2025,0.89,24,Power Transformer 220kV,11
9917628,Rajasthan,Substation,5,2025,0.9,20,Circuit Breaker,4
12884563,Rajasthan,Substation,1,2025,0.35,21,ACSR Conductor,3272
20396774,West Bengal,Distribution,3,2024,0.51,20,Earthing Rod,938
16036540,Madhya Pradesh,Distribution,12,2024,0.4,10,Circuit Breaker,8
17334570,Tamil Nadu,Substation,11,2024,0.44,17,Earthing Rod,693
23660135,Karnataka,Substation,10,2025,0.73,18,Earthing Rod,1348
18992646,Delhi,Transmission,10,2025,0.8,30,Steel Tower,94
9345892,Delhi,Distribution,3,2025,0.62,13,Galvanized Steel Wire,1700
19466126,West Bengal,Transmission,6,2025,0.67,21,Copper Cable 400mm,3387
11831422,West Bengal,Substation,5,2024,0.51,19,Galvanized Steel Wire,3395
13236258,Rajasthan,Substation,11,2025,0.58,20,Insulator Disc,648
5355104,Gujarat,Distribution,11,2025,0.8,15,Power Transformer 220kV,2
18369997,Delhi,Distribution,11,2025,0.84,18,Copper Cable 400mm,3049
20767027,West Bengal,Distribution,5,2024,0.87,27,Copper Cable 400mm,3779
11863255,Maharashtra,Transmission,12,2025,0.39,28,Circuit Breaker,5
22952465,Madhya Pradesh,Substation,5,2024,0.54,26,Galvanized Steel Wire,5531
14454870,Uttar Pradesh,Distribution,12,2024,0.65,11,Circuit Breaker,9
19929056,Bihar,Distribution,2,2025,0.89,25,Steel Tower,39
10655379,Bihar,Transmission,9,2024,0.9,26,Copper Cable 400mm,1726
24722706,Rajasthan,Distribution,7,2025,0.32,11,Earthing Rod,1335
18012585,Uttar Pradesh,Transmission,4,2025,0.33,28,Steel Tower,90
7443366,Rajasthan,Transmission,1,2025,0.32,19,Earthing Rod,409
9222359,Maharashtra,Substation,4,2025,0.68,22,Steel Tower,18
23017163,Maharashtra,Substation,6,2024,0.6,12,Earthing Rod,966
13314349,Bihar,Transmission,6,2025,0.8,18,Galvanized Steel Wire,3887
20579060,West Bengal,Distribution,8,2025,0.52,17,ACSR Conductor,4383
14887773,Uttar Pradesh,Transmission,10,2025,0.36,26,Power Transformer 220kV,7
12262541,Madhya Pradesh,Substation,4,2024,0.53,14,Relay Panel,8
9223990,Karnataka,Transmission,6,2025,0.32,23,Earthing Rod,553
16908791,Delhi,Transmission,11,2025,0.68,15,Galvanized Steel Wire,4514
7233178,Bihar,Transmission,6,2024,0.46,16,Insulator Disc,339
22681664,Bihar,Substation,8,2025,0.8,28,High Voltage Fuse,16
15784071,Gujarat,Transmission,3,2024,0.67,23,Insulator Disc,883
18999394,Maharashtra,Distribution,9,2024,0.43,23,Steel Tower,94
18609686,Delhi,Transmission,9,2024,0.35,25,Relay Panel,13
17681850,Madhya Pradesh,Distribution,5,2024,0.32,21,Galvanized Steel Wire,3854
5733056,Tamil Nadu,Substation,9,2025,0.47,27,ACSR Conductor,1301
8944064,Gujarat,Transmission,3,2025,0.65,12,ACSR Conductor,1824
14414705,Maharashtra,Transmission,6,2025,0.74,16,Earthing Rod,850
19891551,Delhi,Transmission,11,2025,0.61,13,Galvanized Steel Wire,4018
7745099,Karnataka,Substation,9,2024,0.77,23,Steel Tower,23
21642449,Uttar Pradesh,Distribution,10,2025,0.8,22,Circuit Breaker,17
20033885,Gujarat,Substation,7,2024,0.81,29,Insulator Disc,921
10061147,Uttar Pradesh,Distribution,2,2024,0.6,14,High Voltage Fuse,6
16021319,Madhya Pradesh,Transmission,9,2024,0.36,23,Circuit Breaker,8
5546095,Rajasthan,Substation,12,2025,0.51,28,Insulator Disc,249
21500316,Uttar Pradesh,Transmission,11,2024,0.36,10,Steel Tower,64
5908590,Karnataka,Substation,6,2024,0.43,24,Galvanized Steel Wire,1228
8987375,Maharashtra,Distribution,8,2024,0.77,16,Circuit Breaker,6
8583109,Uttar Pradesh,Transmission,1,2024,0.47,10,ACSR Conductor,1639
6221913,Maharashtra,Distribution,1,2025,0.83,30,Relay Panel,2
20935970,Uttar Pradesh,Substation,5,2024,0.4,11,Relay Panel,7
23473483,West Bengal,Substation,5,2025,0.75,10,Insulator Disc,985
16449180,Madhya Pradesh,Transmission,3,2025,0.64,28,Power Transformer 220kV,12
6546681,Tamil Nadu,Distribution,3,2025,0.48,15,Power Transformer 220kV,3
10466560,Tamil Nadu,Transmission,9,2025,0.68,24,ACSR Conductor,2930
23877200,Uttar Pradesh,Distribution,9,2024,0.36,15,Copper Cable 400mm,4035
8699053,West Bengal,Distribution,4,2025,0.51,27,Copper Cable 400mm,2418
9807400,West Bengal,Substation,5,2024,0.8,16,High Voltage Fuse,7
16519159,Tamil Nadu,Distribution,6,2024,0.32,10,ACSR Conductor,2477
7179020,Maharashtra,Distribution,9,2025,0.41,23,Steel Tower,28
16327347,Bihar,Transmission,1,2025,0.76,18,Galvanized Steel Wire,4212
13823217,West Bengal,Substation,1,2024,0.37,30,Steel Tower,69
19987585,Delhi,Substation,10,2024,0.81,14,Relay Panel,13
15943858,Rajasthan,Substation,1,2024,0.5,27,Earthing Rod,813
5386020,Bihar,Distribution,8,2024,0.71,19,Circuit Breaker,3
15830387,West Bengal,Distribution,4,2024,0.89,12,Steel Tower,47
22260984,Delhi,Substation,2,2024,0.82,18,Power Transformer 220kV,8
22930330,Rajasthan,Substation,3,2025,0.83,30,Power Transformer 220kV,10
21067120,Rajasthan,Substation,11,2024,0.5,19,Earthing Rod,1137
10924434,Bihar,Substation,2,2025,0.64,20,Steel Tower,43
7764346,Uttar Pradesh,Transmission,4,2024,0.72,14,Steel Tower,23
22832247,Rajasthan,Distribution,6,2025,0.83,16,ACSR Conductor,5776
17492927,West Bengal,Substation,2,2024,0.6,17,High Voltage Fuse,5
15541246,Tamil Nadu,Transmission,2,2025,0.65,11,Earthing Rod,885
19321078,Gujarat,Distribution,8,2024,0.56,26,Steel Tower,96
8628220,Delhi,Distribution,12,2024,0.87,25,High Voltage Fuse,3
16805335,Uttar Pradesh,Distribution,5,2024,0.42,24,ACSR Conductor,4134
24855346,West Bengal,Distribution,11,2025,0.83,23,Relay Panel,16
19610047,Gujarat,Substation,11,2025,0.74,15,ACSR Conductor,5235
8492769,West Bengal,Substation,3,2025,0.46,26,High Voltage Fuse,3
11516211,Gujarat,Distribution,9,2025,0.59,25,Relay Panel,8
22886555,Tamil Nadu,Distribution,8,2025,0.37,26,Circuit Breaker,12
11859792,Maharashtra,Transmission,1,2024,0.76,26,Power Transformer 220kV,3
10169441,Karnataka,Distribution,2,2024,0.5,10,High Voltage Fuse,3
22912708,Madhya Pradesh,Substation,8,2024,0.57,20,Steel Tower,91
14588595,Delhi,Substation,3,2025,0.58,17,Earthing Rod,773
20517296,Rajasthan,Distribution,12,2024,0.83,25,High Voltage Fuse,6
13083234,Maharashtra,Substation,6,2025,0.3,17,Steel Tower,26
11293264,Delhi,Distribution,4,2024,0.64,22,Circuit Breaker,3
5768390,Uttar Pradesh,Distribution,6,2025,0.4,23,Power Transformer 220kV,3
7199414,Uttar Pradesh,Substation,8,2025,0.64,26,Copper Cable 400mm,1079
14512354,Gujarat,Distribution,11,2024,0.38,19,Power Transformer 220kV,10
8124526,Delhi,Distribution,7,2024,0.43,24,Insulator Disc,414
18089116,Bihar,Substation,1,2025,0.69,29,Insulator Disc,958
5400530,Gujarat,Distribution,4,2024,0.89,13,Power Transformer 220kV,1
22530347,Delhi,Substation,3,2024,0.78,18,Galvanized Steel Wire,4258
6751261,Madhya Pradesh,Substation,2,2024,0.84,18,Earthing Rod,270
9700482,West Bengal,Distribution,10,2024,0.89,17,Relay Panel,5
12720811,Rajasthan,Distribution,12,2024,0.81,28,ACSR Conductor,2378
8559026,Rajasthan,Substation,7,2025,0.8,16,Galvanized Steel Wire,1378
19534288,Karnataka,Distribution,8,2024,0.38,26,Steel Tower,58
10946633,Delhi,Distribution,3,2024,0.49,23,Copper Cable 400mm,2353
9277751,Tamil Nadu,Distribution,11,2024,0.45,10,Copper Cable 400mm,1549
20277348,Uttar Pradesh,Transmission,6,2024,0.44,19,Steel Tower,40
17865541,West Bengal,Transmission,6,2024,0.57,23,ACSR Conductor,4645
12781992,Rajasthan,Distribution,2,2025,0.48,10,Relay Panel,4
6565338,Tamil Nadu,Distribution,10,2025,0.85,30,Relay Panel,4
10519930,Maharashtra,Transmission,3,2024,0.75,28,Copper Cable 400mm,2871
22034461,Rajasthan,Transmission,8,2025,0.6,24,ACSR Conductor,3745
14579843,Karnataka,Substation,10,2024,0.78,29,Insulator Disc,801
24778796,Rajasthan,Transmission,11,2025,0.78,27,ACSR Conductor,6591
21447499,Madhya Pradesh,Distribution,3,2025,0.49,30,Power Transformer 220kV,8
16419281,Uttar Pradesh,Transmission,9,2024,0.58,11,Power Transformer 220kV,6
18647827,Delhi,Transmission,9,2024,0.9,15,Circuit Breaker,10
21468021,Delhi,Substation,11,2025,0.79,29,Circuit Breaker,7
5749137,Madhya Pradesh,Distribution,11,2025,0.37,20,High Voltage Fuse,2
20061751,West Bengal,Distribution,1,2025,0.84,24,ACSR Conductor,3711
18854456,Gujarat,Substation,9,2025,0.55,28,Steel Tower,75
22072988,West Bengal,Substation,5,2024,0.53,24,Relay Panel,8
7692111,Uttar Pradesh,Substation,4,2025,0.51,19,Galvanized Steel Wire,2046
20523626,Bihar,Distribution,4,2025,0.35,15,Galvanized Steel Wire,6033
18647147,West Bengal,Distribution,2,2024,0.53,11,ACSR Conductor,3971
23011109,Uttar Pradesh,Distribution,8,2024,0.37,29,Copper Cable 400mm,4556
17260413,Bihar,Distribution,12,2025,0.71,21,High Voltage Fuse,12
23679274,Madhya Pradesh,Substation,8,2025,0.85,13,High Voltage Fuse,12
12417850,Tamil Nadu,Transmission,7,2025,0.78,21,Relay Panel,8
15702268,Madhya Pradesh,Distribution,6,2025,0.84,13,Relay Panel,4
23150753,Gujarat,Distribution,1,2024,0.66,30,ACSR Conductor,3935
23824068,Tamil Nadu,Substation,6,2025,0.37,10,High Voltage Fuse,7
5359953,West Bengal,Distribution,10,2024,0.57,17,ACSR Conductor,1270
24734576,Rajasthan,Substation,10,2024,0.47,22,Steel Tower,49
22458053,Rajasthan,Distribution,2,2024,0.75,29,Copper Cable 400mm,4132
12825313,Uttar Pradesh,Distribution,1,2024,0.76,10,Steel Tower,51
24540229,Bihar,Substation,1,2024,0.6,28,Copper Cable 400mm,6355
5286410,Bihar,Distribution,1,2024,0.61,30,Copper Cable 400mm,1057
18462117,Madhya Pradesh,Transmission,10,2024,0.39,18,Relay Panel,6
15445568,Uttar Pradesh,Substation,11,2025,0.58,17,Galvanized Steel Wire,4540
11733302,Maharashtra,Transmission,5,2024,0.44,24,Insulator Disc,563
15222868,Uttar Pradesh,Substation,1,2024,0.44,25,Insulator Disc,608
10906615,Delhi,Transmission,7,2025,0.4,23,Relay Panel,5
19851730,Delhi,Distribution,5,2025,0.86,14,ACSR Conductor,3613
14880518,Uttar Pradesh,Transmission,4,2025,0.78,21,Earthing Rod,595
12293657,Rajasthan,Substation,2,2025,0.37,27,Power Transformer 220kV,4
10402900,West Bengal,Distribution,10,2025,0.6,24,Insulator Disc,613
22020704,Tamil Nadu,Distribution,11,2024,0.44,30,High Voltage Fuse,14
13664816,Maharashtra,Distribution,7,2024,0.38,29,Relay Panel,8
22407158,Karnataka,Transmission,4,2025,0.84,12,High Voltage Fuse,11
12841922,Uttar Pradesh,Distribution,2,2025,0.48,26,Copper Cable 400mm,2517
10484997,Maharashtra,Distribution,7,2024,0.33,28,Steel Tower,52
7615289,West Bengal,Substation,5,2024,0.45,25,Earthing Rod,403
19885530,Bihar,Substation,11,2024,0.35,27,Insulator Disc,954
24735941,Maharashtra,Distribution,6,2024,0.78,11,Galvanized Steel Wire,6851
16608176,Rajasthan,Substation,5,2025,0.7,12,Relay Panel,7
14776452,Delhi,Transmission,2,2024,0.52,10,Circuit Breaker,9
16679893,Maharashtra,Transmission,11,2025,0.31,14,Steel Tower,33
23382474,Tamil Nadu,Distribution,11,2024,0.88,28,Steel Tower,70
11754545,Tamil Nadu,Distribution,2,2025,0.45,26,Earthing Rod,658
17527277,Madhya Pradesh,Substation,3,2025,0.72,17,Earthing Rod,753
6140945,Rajasthan,Transmission,7,2025,0.32,16,Power Transformer 220kV,3
12390711,Bihar,Transmission,1,2025,0.3,18,Galvanized Steel Wire,3593
19782345,Rajasthan,Transmission,9,2024,0.46,25,Circuit Breaker,15
7844593,Delhi,Transmission,10,2024,0.71,12,Steel Tower,15
9414422,Tamil Nadu,Substation,3,2025,0.81,17,Earthing Rod,414
16327286,Karnataka,Transmission,8,2024,0.55,27,Relay Panel,7
22435621,Maharashtra,Transmission,5,2024,0.74,29,Galvanized Steel Wire,4419
6916312,Tamil Nadu,Transmission,10,2025,0.71,17,Insulator Disc,297
10697700,Karnataka,Transmission,3,2024,0.39,15,High Voltage Fuse,5
14251195,Bihar,Substation,4,2025,0.48,10,Earthing Rod,726
22692246,Karnataka,Transmission,11,2024,0.35,16,Steel Tower,45
7279691,Bihar,Substation,9,2024,0.63,17,Insulator Disc,327
8060066,Madhya Pradesh,Distribution,6,2024,0.81,22,Power Transformer 220kV,4
21506078,Tamil Nadu,Distribution,7,2024,0.58,13,Copper Cable 400mm,5742
15407949,Karnataka,Transmission,8,2024,0.8,27,Power Transformer 220kV,5
17810541,West Bengal,Substation,2,2024,0.71,25,ACSR Conductor,5111
19562440,Tamil Nadu,Substation,11,2024,0.53,28,ACSR Conductor,3169
22882029,West Bengal,Distribution,12,2025,0.59,17,Steel Tower,91
7084645,Uttar Pradesh,Distribution,5,2024,0.59,14,Copper Cable 400mm,1650
23305930,Maharashtra,Transmission,8,2024,0.71,14,Earthing Rod,932
12187300,West Bengal,Substation,2,2025,0.67,25,Earthing Rod,609
8452572,Bihar,Substation,12,2025,0.76,21,Galvanized Steel Wire,1377
10531347,Karnataka,Transmission,4,2024,0.62,13,ACSR Conductor,2759
24605136,West Bengal,Transmission,9,2025,0.46,10,Insulator Disc,1058
21429058,West Bengal,Transmission,10,2024,0.4,17,Power Transformer 220kV,16
5136473,Maharashtra,Substation,12,2025,0.66,28,Copper Cable 400mm,1052
16904787,Gujarat,Distribution,11,2025,0.33,30,Earthing Rod,929
6119387,Delhi,Transmission,3,2025,0.7,17,Galvanized Steel Wire,1548
15631557,Delhi,Distribution,6,2025,0.39,29,Power Transformer 220kV,9
23035736,Rajasthan,Distribution,2,2024,0.59,30,High Voltage Fuse,10
18885647,Uttar Pradesh,Transmission,6,2025,0.37,20,High Voltage Fuse,14
14003664,Madhya Pradesh,Substation,5,2024,0.34,23,Steel Tower,70
9783104,Uttar Pradesh,Transmission,7,2025,0.37,23,High Voltage Fuse,5
9617442,Rajasthan,Distribution,5,2025,0.39,13,Earthing Rod,528
12448331,Tamil Nadu,Substation,12,2025,0.9,23,Power Transformer 220kV,9
20445335,Delhi,Substation,8,2025,0.47,21,Relay Panel,9
15619697,Rajasthan,Transmission,8,2025,0.75,19,ACSR Conductor,4170
9133495,Maharashtra,Transmission,2,2024,0.51,16,Circuit Breaker,4
23411320,Tamil Nadu,Substation,8,2025,0.48,11,Power Transformer 220kV,8
5721628,Uttar Pradesh,Transmission,5,2024,0.79,24,ACSR Conductor,921
15452723,Karnataka,Transmission,3,2025,0.44,19,Circuit Breaker,7
18520191,Bihar,Distribution,11,2024,0.75,17,Steel Tower,74
21284463,Karnataka,Substation,7,2024,0.43,22,Insulator Disc,1213
22406943,West Bengal,Substation,4,2024,0.72,12,Galvanized Steel Wire,3966
15256630,Maharashtra,Transmission,2,2025,0.39,10,Earthing Rod,671
23959112,Karnataka,Substation,10,2024,0.31,29,Insulator Disc,1126
14627702,Karnataka,Distribution,6,2025,0.7,18,Steel Tower,43
24390311,West Bengal,Transmission,4,2024,0.68,16,Power Transformer 220kV,12
22819215,Rajasthan,Substation,9,2024,0.81,19,High Voltage Fuse,11
9177917,Bihar,Substation,11,2024,0.54,30,Insulator Disc,367
9878117,Uttar Pradesh,Substation,3,2025,0.78,15,Earthing Rod,474
17121526,Tamil Nadu,Distribution,11,2025,0.46,26,Insulator Disc,719
16875348,Karnataka,Distribution,9,2025,0.68,29,High Voltage Fuse,10
19704294,Delhi,Transmission,12,2025,0.53,14,Power Transformer 220kV,9
11583182,Madhya Pradesh,Distribution,9,2024,0.33,17,Earthing Rod,625
11025415,Uttar Pradesh,Substation,8,2024,0.32,18,ACSR Conductor,3186
7098542,Bihar,Distribution,1,2025,0.71,24,Power Transformer 220kV,2
21201194,Tamil Nadu,Distribution,12,2024,0.73,16,Steel Tower,84
16267385,Delhi,Distribution,9,2024,0.86,12,Galvanized Steel Wire,4522
16752203,Uttar Pradesh,Substation,4,2024,0.74,21,Power Transformer 220kV,7
